uuid,date,weekday,count,max,mean
Device_1,2017-07-15,Saturday,263,19.18,10.59
Device_1,2017-07-16,Sunday,134,16.19,9.98
Device_1,2017-07-17,Monday,20,6.07,1.58
Device_1,2017-07-18,Tuesday,648,22.58,4.82
Device_1,2017-07-19,Wednesday,899,20.38,4.77
Device_1,2017-07-20,Thursday,47,5.49,1.59
Device_1,2017-07-21,Friday,95,4.2,1.42
Device_2,2017-07-15,Saturday,695,31.59,12.65
Device_2,2017-07-16,Sunday,685,22.38,13.12
Device_2,2017-07-17,Monday,572,13.72,5.93
Device_2,2017-07-18,Tuesday,1312,20.95,10.23
Device_2,2017-07-19,Wednesday,352,15.04,6.5
Device_2,2017-07-20,Thursday,190,11.0,5.05
Device_2,2017-07-21,Friday,662,30.92,12.06
Device_3,2017-07-15,Saturday,93,1.91,1.44
Device_3,2017-07-16,Sunday,191,23.04,11.62
Device_3,2017-07-17,Monday,228,18.27,6.41
Device_3,2017-07-18,Tuesday,90,12.79,4.02
Device_3,2017-07-19,Wednesday,93,12.19,4.71
Device_3,2017-07-20,Thursday,100,12.96,6.58
Device_3,2017-07-21,Friday,36,11.53,2.66
Device_4,2017-07-15,Saturday,50,20.09,8.35
Device_4,2017-07-16,Sunday,58,19.32,10.7
Device_4,2017-07-17,Monday,582,20.04,3.29
Device_4,2017-07-18,Tuesday,651,20.82,4.73
Device_4,2017-07-19,Wednesday,979,20.31,4.43
Device_4,2017-07-20,Thursday,58,17.38,2.87
Device_4,2017-07-21,Friday,306,19.53,5.26
Device_5,2017-07-15,Saturday,420,17.74,3.13
Device_5,2017-07-16,Sunday,394,21.5,5.6
Device_5,2017-07-17,Monday,409,17.43,3.52
Device_5,2017-07-18,Tuesday,383,16.28,1.89
Device_5,2017-07-19,Wednesday,336,17.63,3.36
Device_5,2017-07-20,Thursday,625,20.3,6.22
Device_5,2017-07-21,Friday,426,23.6,5.99
